nameFirst,nameLast,tname
Tom,Carey,Baltimore Canaries
Bill,Craver,Baltimore Canaries
Cal,McVey,Baltimore Canaries
Everett,Mills,Baltimore Canaries
Warren,White,Baltimore Canaries
Bill,Smith,Baltimore Marylands
Billy,Barnie,Baltimore Orioles
Ned,Hanlon,Baltimore Orioles
John,McGraw,Baltimore Orioles
Henry,Myers,Baltimore Orioles
Wilbert,Robinson,Baltimore Orioles
George,Van Haltren,Baltimore Orioles
Otto,Knabe,Baltimore Terrapins
Jack,Barry,Boston Americans
Lou,Boudreau,Boston Americans
Bill,Carrigan,Boston Americans
Jimmy,Collins,Boston Americans
Joe,Cronin,Boston Americans
Deacon,McGuire,Boston Americans
Marty,McManus,Boston Americans
Chick,Stahl,Boston Americans
Jake,Stahl,Boston Americans
Bob,Unglaub,Boston Americans
Cy,Young,Boston Americans
Dave,Bancroft,Boston Beaneaters
Frank,Bowerman,Boston Beaneaters
Jack,Burdock,Boston Beaneaters
Tommy,Holmes,Boston Beaneaters
Rogers,Hornsby,Boston Beaneaters
Joe,Kelley,Boston Beaneaters
King,Kelly,Boston Beaneaters
Johnny,Kling,Boston Beaneaters
Fred,Lake,Boston Beaneaters
John,Morrill,Boston Beaneaters
Harry,Smith,Boston Beaneaters
Fred,Tenney,Boston Beaneaters
Harry,Wright,Boston Beaneaters
Dave,Bancroft,Boston Bees
Frank,Bowerman,Boston Bees
Jack,Burdock,Boston Bees
Tommy,Holmes,Boston Bees
Rogers,Hornsby,Boston Bees
Joe,Kelley,Boston Bees
King,Kelly,Boston Bees
Johnny,Kling,Boston Bees
Fred,Lake,Boston Bees
John,Morrill,Boston Bees
Harry,Smith,Boston Bees
Fred,Tenney,Boston Bees
Harry,Wright,Boston Bees
Dave,Bancroft,Boston Braves
Frank,Bowerman,Boston Braves
Jack,Burdock,Boston Braves
Tommy,Holmes,Boston Braves
Rogers,Hornsby,Boston Braves
Joe,Kelley,Boston Braves
King,Kelly,Boston Braves
Johnny,Kling,Boston Braves
Fred,Lake,Boston Braves
John,Morrill,Boston Braves
Harry,Smith,Boston Braves
Fred,Tenney,Boston Braves
Harry,Wright,Boston Braves
Dave,Bancroft,Boston Doves
Frank,Bowerman,Boston Doves
Jack,Burdock,Boston Doves
Tommy,Holmes,Boston Doves
Rogers,Hornsby,Boston Doves
Joe,Kelley,Boston Doves
King,Kelly,Boston Doves
Johnny,Kling,Boston Doves
Fred,Lake,Boston Doves
John,Morrill,Boston Doves
Harry,Smith,Boston Doves
Fred,Tenney,Boston Doves
Harry,Wright,Boston Doves
Dave,Bancroft,Boston Red Caps
Frank,Bowerman,Boston Red Caps
Jack,Burdock,Boston Red Caps
Tommy,Holmes,Boston Red Caps
Rogers,Hornsby,Boston Red Caps
Joe,Kelley,Boston Red Caps
King,Kelly,Boston Red Caps
Johnny,Kling,Boston Red Caps
Fred,Lake,Boston Red Caps
John,Morrill,Boston Red Caps
Harry,Smith,Boston Red Caps
Fred,Tenney,Boston Red Caps
Harry,Wright,Boston Red Caps
Jack,Barry,Boston Red Sox
Lou,Boudreau,Boston Red Sox
Bill,Carrigan,Boston Red Sox
Jimmy,Collins,Boston Red Sox
Joe,Cronin,Boston Red Sox
Deacon,McGuire,Boston Red Sox
Marty,McManus,Boston Red Sox
Chick,Stahl,Boston Red Sox
Jake,Stahl,Boston Red Sox
Bob,Unglaub,Boston Red Sox
Cy,Young,Boston Red Sox
Harry,Wright,Boston Red Stockings
Arthur,Irwin,Boston Reds
King,Kelly,Boston Reds
Tim,Murnane,Boston Reds
Dave,Bancroft,Boston Rustlers
Frank,Bowerman,Boston Rustlers
Jack,Burdock,Boston Rustlers
Tommy,Holmes,Boston Rustlers
Rogers,Hornsby,Boston Rustlers
Joe,Kelley,Boston Rustlers
King,Kelly,Boston Rustlers
Johnny,Kling,Boston Rustlers
Fred,Lake,Boston Rustlers
John,Morrill,Boston Rustlers
Harry,Smith,Boston Rustlers
Fred,Tenney,Boston Rustlers
Harry,Wright,Boston Rustlers
Bill,Boyd,Brooklyn Atlantics
Bob,Ferguson,Brooklyn Atlantics
Charlie,Pabor,Brooklyn Atlantics
Bill,Dahlen,Brooklyn Bridegrooms
Patsy,Donovan,Brooklyn Bridegrooms
Leo,Durocher,Brooklyn Bridegrooms
Dave,Foutz,Brooklyn Bridegrooms
Mike,Griffin,Brooklyn Bridegrooms
Harry,Lumley,Brooklyn Bridegrooms
John,Ward,Brooklyn Bridegrooms
Bill,Dahlen,Brooklyn Dodgers
Patsy,Donovan,Brooklyn Dodgers
Leo,Durocher,Brooklyn Dodgers
Dave,Foutz,Brooklyn Dodgers
Mike,Griffin,Brooklyn Dodgers
Harry,Lumley,Brooklyn Dodgers
John,Ward,Brooklyn Dodgers
Jim,Clinton,Brooklyn Eckfords
Jimmy,Wood,Brooklyn Eckfords
Bill,Dahlen,Brooklyn Grooms
Patsy,Donovan,Brooklyn Grooms
Leo,Durocher,Brooklyn Grooms
Dave,Foutz,Brooklyn Grooms
Mike,Griffin,Brooklyn Grooms
Harry,Lumley,Brooklyn Grooms
John,Ward,Brooklyn Grooms
Bill,Dahlen,Brooklyn Robins
Patsy,Donovan,Brooklyn Robins
Leo,Durocher,Brooklyn Robins
Dave,Foutz,Brooklyn Robins
Mike,Griffin,Brooklyn Robins
Harry,Lumley,Brooklyn Robins
John,Ward,Brooklyn Robins
Bill,Dahlen,Brooklyn Superbas
Patsy,Donovan,Brooklyn Superbas
Leo,Durocher,Brooklyn Superbas
Dave,Foutz,Brooklyn Superbas
Mike,Griffin,Brooklyn Superbas
Harry,Lumley,Brooklyn Superbas
John,Ward,Brooklyn Superbas
Bill,Bradley,Brooklyn Tip-Tops
Lee,Magee,Brooklyn Tip-Tops
John,Ward,Brooklyn Ward's Wonders
John,Clapp,Buffalo Bisons
Sam,Crane,Buffalo Bisons
Jay,Faatz,Buffalo Bisons
Pud,Galvin,Buffalo Bisons
Jim,O'Rourke,Buffalo Bisons
Jack,Rowe,Buffalo Bisons
Walter,Blair,Buffalo Blues
Harry,Lord,Buffalo Blues
Larry,Schlafly,Buffalo Blues
Walter,Blair,Buffalo Buffeds
Harry,Lord,Buffalo Buffeds
Larry,Schlafly,Buffalo Buffeds
Joe,Tinker,Chicago Chi-Feds
Cap,Anson,Chicago Colts
Roger,Bresnahan,Chicago Colts
Phil,Cavarretta,Chicago Colts
Frank,Chance,Chicago Colts
Johnny,Evers,Chicago Colts
Bob,Ferguson,Chicago Colts
Silver,Flint,Chicago Colts
Charlie,Grimm,Chicago Colts
Gabby,Hartnett,Chicago Colts
Rogers,Hornsby,Chicago Colts
Bill,Killefer,Chicago Colts
Rabbit,Maranville,Chicago Colts
Al,Spalding,Chicago Colts
El,Tappe,Chicago Colts
Joe,Tinker,Chicago Colts
Cap,Anson,Chicago Cubs
Roger,Bresnahan,Chicago Cubs
Phil,Cavarretta,Chicago Cubs
Frank,Chance,Chicago Cubs
Johnny,Evers,Chicago Cubs
Bob,Ferguson,Chicago Cubs
Silver,Flint,Chicago Cubs
Charlie,Grimm,Chicago Cubs
Gabby,Hartnett,Chicago Cubs
Rogers,Hornsby,Chicago Cubs
Bill,Killefer,Chicago Cubs
Rabbit,Maranville,Chicago Cubs
Al,Spalding,Chicago Cubs
El,Tappe,Chicago Cubs
Joe,Tinker,Chicago Cubs
Cap,Anson,Chicago Orphans
Roger,Bresnahan,Chicago Orphans
Phil,Cavarretta,Chicago Orphans
Frank,Chance,Chicago Orphans
Johnny,Evers,Chicago Orphans
Bob,Ferguson,Chicago Orphans
Silver,Flint,Chicago Orphans
Charlie,Grimm,Chicago Orphans
Gabby,Hartnett,Chicago Orphans
Rogers,Hornsby,Chicago Orphans
Bill,Killefer,Chicago Orphans
Rabbit,Maranville,Chicago Orphans
Al,Spalding,Chicago Orphans
El,Tappe,Chicago Orphans
Joe,Tinker,Chicago Orphans
Charlie,Comiskey,Chicago Pirates
Joe,Tinker,Chicago Whales
Lena,Blackburne,Chicago White Sox
Jimmy,Callahan,Chicago White Sox
Eddie,Collins,Chicago White Sox
Jimmy,Dykes,Chicago White Sox
Lew,Fonseca,Chicago White Sox
Clark,Griffith,Chicago White Sox
Fielder,Jones,Chicago White Sox
Don,Kessinger,Chicago White Sox
Ted,Lyons,Chicago White Sox
Ray,Schalk,Chicago White Sox
Billy,Sullivan,Chicago White Sox
Cap,Anson,Chicago White Stockings
Roger,Bresnahan,Chicago White Stockings
Phil,Cavarretta,Chicago White Stockings
Frank,Chance,Chicago White Stockings
Johnny,Evers,Chicago White Stockings
Bob,Ferguson,Chicago White Stockings
Silver,Flint,Chicago White Stockings
Charlie,Grimm,Chicago White Stockings
Gabby,Hartnett,Chicago White Stockings
Rogers,Hornsby,Chicago White Stockings
Bill,Killefer,Chicago White Stockings
Fergy,Malone,Chicago White Stockings
Rabbit,Maranville,Chicago White Stockings
Al,Spalding,Chicago White Stockings
El,Tappe,Chicago White Stockings
Joe,Tinker,Chicago White Stockings
Jimmy,Wood,Chicago White Stockings
Joe,Battin,Chicago/Pittsburgh (Union League)
Joe,Ellick,Chicago/Pittsburgh (Union League)
King,Kelly,Cincinnati Kelly's Killers
Sam,Crane,Cincinnati Outlaw Reds
Dan,O'Leary,Cincinnati Outlaw Reds
Pop,Snyder,Cincinnati Red Stockings
Will,White,Cincinnati Red Stockings
Bob,Allen,Cincinnati Redlegs
Charlie,Comiskey,Cincinnati Redlegs
Buck,Ewing,Cincinnati Redlegs
John,Ganzel,Cincinnati Redlegs
Clark,Griffith,Cincinnati Redlegs
Heinie,Groh,Cincinnati Redlegs
Buck,Herzog,Cincinnati Redlegs
Joe,Kelley,Cincinnati Redlegs
Christy,Mathewson,Cincinnati Redlegs
Bob,O'Farrell,Cincinnati Redlegs
Pete,Rose,Cincinnati Redlegs
Joe,Tinker,Cincinnati Redlegs
Bucky,Walters,Cincinnati Redlegs
Ivey,Wingo,Cincinnati Redlegs
Bob,Addy,Cincinnati Reds
Bob,Allen,Cincinnati Reds
John,Clapp,Cincinnati Reds
Charlie,Comiskey,Cincinnati Reds
Buck,Ewing,Cincinnati Reds
John,Ganzel,Cincinnati Reds
Charlie,Gould,Cincinnati Reds
Clark,Griffith,Cincinnati Reds
Heinie,Groh,Cincinnati Reds
Buck,Herzog,Cincinnati Reds
Joe,Kelley,Cincinnati Reds
Jack,Manning,Cincinnati Reds
Christy,Mathewson,Cincinnati Reds
Cal,McVey,Cincinnati Reds
Bob,O'Farrell,Cincinnati Reds
Lip,Pike,Cincinnati Reds
Pete,Rose,Cincinnati Reds
Joe,Tinker,Cincinnati Reds
Bucky,Walters,Cincinnati Reds
Deacon,White,Cincinnati Reds
Ivey,Wingo,Cincinnati Reds
Joe,Birmingham,Cleveland Blues
Lou,Boudreau,Cleveland Blues
Bill,Bradley,Cleveland Blues
John,Clapp,Cleveland Blues
Harry,Davis,Cleveland Blues
Fred,Dunlap,Cleveland Blues
Nap,Lajoie,Cleveland Blues
Jimmy,McAleer,Cleveland Blues
Jim,McCormick,Cleveland Blues
Mike,McGeary,Cleveland Blues
Deacon,McGuire,Cleveland Blues
Frank,Robinson,Cleveland Blues
Tris,Speaker,Cleveland Blues
George,Stovall,Cleveland Blues
Joe,Birmingham,Cleveland Bronchos
Lou,Boudreau,Cleveland Bronchos
Bill,Bradley,Cleveland Bronchos
Harry,Davis,Cleveland Bronchos
Nap,Lajoie,Cleveland Bronchos
Jimmy,McAleer,Cleveland Bronchos
Deacon,McGuire,Cleveland Bronchos
Frank,Robinson,Cleveland Bronchos
Tris,Speaker,Cleveland Bronchos
George,Stovall,Cleveland Bronchos
Scott,Hastings,Cleveland Forest Citys
Charlie,Pabor,Cleveland Forest Citys
Deacon,White,Cleveland Forest Citys
Joe,Birmingham,Cleveland Indians
Lou,Boudreau,Cleveland Indians
Bill,Bradley,Cleveland Indians
Harry,Davis,Cleveland Indians
Nap,Lajoie,Cleveland Indians
Jimmy,McAleer,Cleveland Indians
Deacon,McGuire,Cleveland Indians
Frank,Robinson,Cleveland Indians
Tris,Speaker,Cleveland Indians
George,Stovall,Cleveland Indians
Henry,Larkin,Cleveland Infants
Patsy,Tebeau,Cleveland Infants
Joe,Birmingham,Cleveland Naps
Lou,Boudreau,Cleveland Naps
Bill,Bradley,Cleveland Naps
Harry,Davis,Cleveland Naps
Nap,Lajoie,Cleveland Naps
Jimmy,McAleer,Cleveland Naps
Deacon,McGuire,Cleveland Naps
Frank,Robinson,Cleveland Naps
Tris,Speaker,Cleveland Naps
George,Stovall,Cleveland Naps
Lave,Cross,Cleveland Spiders
Joe,Quinn,Cleveland Spiders
Patsy,Tebeau,Cleveland Spiders
Ty,Cobb,Detroit Tigers
Mickey,Cochrane,Detroit Tigers
Bucky,Harris,Detroit Tigers
Fred,Hutchinson,Detroit Tigers
Hughie,Jennings,Detroit Tigers
Bobby,Lowe,Detroit Tigers
Charlie,Morton,Detroit Wolverines
Harry,Deane,Fort Wayne Kekiongas
Bill,Lennon,Fort Wayne Kekiongas
Bob,Ferguson,Hartford Dark Blues
Lip,Pike,Hartford Dark Blues
John,Clapp,Indianapolis Blues
Jack,Glasscock,Indianapolis Hoosiers
Bill,Watkins,Indianapolis Hoosiers
Hank,Bauer,Kansas City Athletics
Sam,Barkley,Kansas City Cowboys
Matthew,Porter,Kansas City Cowboys
Dave,Rowe,Kansas City Cowboys
Ted,Sullivan,Kansas City Cowboys
Harry,Wheeler,Kansas City Cowboys
George,Stovall,Kansas City Packers
Joe,Simmons,Keokuk Westerns
Fred,Clarke,Louisville Colonels
Dude,Esterbrook,Louisville Colonels
Joe,Gerhardt,Louisville Colonels
John,Kerins,Louisville Colonels
Denny,Mack,Louisville Colonels
Fred,Pfeffer,Louisville Colonels
Jim,Rogers,Louisville Colonels
Dan,Shannon,Louisville Colonels
Chicken,Wolf,Louisville Colonels
Dude,Esterbrook,Louisville Eclipse
Joe,Gerhardt,Louisville Eclipse
John,Kerins,Louisville Eclipse
Denny,Mack,Louisville Eclipse
Dan,Shannon,Louisville Eclipse
Chicken,Wolf,Louisville Eclipse
Jack,Chapman,Louisville Grays
John,Clapp,Middletown Mansfields
Hugh,Duffy,Milwaukee Brewers
Charlie,Gould,New Haven Elm Citys
Jumbo,Latham,New Haven Elm Citys
Charlie,Pabor,New Haven Elm Citys
John,Clapp,New York Giants
George,Davis,New York Giants
Jack,Doyle,New York Giants
Buck,Ewing,New York Giants
Rogers,Hornsby,New York Giants
Bill,Joyce,New York Giants
John,McGraw,New York Giants
Mel,Ott,New York Giants
Heinie,Smith,New York Giants
Bill,Terry,New York Giants
John,Ward,New York Giants
John,Clapp,New York Gothams
George,Davis,New York Gothams
Jack,Doyle,New York Gothams
Rogers,Hornsby,New York Gothams
Bill,Joyce,New York Gothams
John,McGraw,New York Gothams
Mel,Ott,New York Gothams
Heinie,Smith,New York Gothams
Bill,Terry,New York Gothams
John,Ward,New York Gothams
Frank,Chance,New York Highlanders
Hal,Chase,New York Highlanders
Bill,Dickey,New York Highlanders
Bill,Donovan,New York Highlanders
Kid,Elberfeld,New York Highlanders
Clark,Griffith,New York Highlanders
Roger,Peckinpaugh,New York Highlanders
Harry,Wolverton,New York Highlanders
Dave,Orr,New York Metropolitans
Joe,Torre,New York Mets
Tom,Carey,New York Mutuals
Bob,Ferguson,New York Mutuals
John,Hatfield,New York Mutuals
Nat,Hicks,New York Mutuals
Dick,Higham,New York Mutuals
Dickey,Pearce,New York Mutuals
Joe,Start,New York Mutuals
Frank,Chance,New York Yankees
Hal,Chase,New York Yankees
Bill,Dickey,New York Yankees
Bill,Donovan,New York Yankees
Kid,Elberfeld,New York Yankees
Clark,Griffith,New York Yankees
Roger,Peckinpaugh,New York Yankees
Harry,Wolverton,New York Yankees
Bill,McKechnie,Newark Pepper
Cap,Anson,Philadelphia Athletics
Charlie,Buffinton,Philadelphia Athletics
Jim,Fogarty,Philadelphia Athletics
Eddie,Joost,Philadelphia Athletics
Lon,Knight,Philadelphia Athletics
Jumbo,Latham,Philadelphia Athletics
Dick,McBride,Philadelphia Athletics
Harry,Stovey,Philadelphia Athletics
George,Wood,Philadelphia Athletics
Bob,Allen,Philadelphia Blue Jays
Ben,Chapman,Philadelphia Blue Jays
Jack,Clements,Philadelphia Blue Jays
Gavvy,Cravath,Philadelphia Blue Jays
Red,Dooin,Philadelphia Blue Jays
Hugh,Duffy,Philadelphia Blue Jays
Bob,Ferguson,Philadelphia Blue Jays
Arthur,Irwin,Philadelphia Blue Jays
Stuffy,McInnis,Philadelphia Blue Jays
Billy,Nash,Philadelphia Blue Jays
Blondie,Purcell,Philadelphia Blue Jays
George,Stallings,Philadelphia Blue Jays
Kaiser,Wilhelm,Philadelphia Blue Jays
Jimmie,Wilson,Philadelphia Blue Jays
Chief,Zimmer,Philadelphia Blue Jays
Bill,Craver,Philadelphia Centennials
Fergy,Malone,Philadelphia Keystones
Bob,Allen,Philadelphia Phillies
Ben,Chapman,Philadelphia Phillies
Jack,Clements,Philadelphia Phillies
Gavvy,Cravath,Philadelphia Phillies
Red,Dooin,Philadelphia Phillies
Hugh,Duffy,Philadelphia Phillies
Bob,Ferguson,Philadelphia Phillies
Arthur,Irwin,Philadelphia Phillies
Stuffy,McInnis,Philadelphia Phillies
Billy,Nash,Philadelphia Phillies
Blondie,Purcell,Philadelphia Phillies
George,Stallings,Philadelphia Phillies
Kaiser,Wilhelm,Philadelphia Phillies
Jimmie,Wilson,Philadelphia Phillies
Chief,Zimmer,Philadelphia Phillies
Bob,Allen,Philadelphia Quakers
Ben,Chapman,Philadelphia Quakers
Jack,Clements,Philadelphia Quakers
Gavvy,Cravath,Philadelphia Quakers
Red,Dooin,Philadelphia Quakers
Hugh,Duffy,Philadelphia Quakers
Bob,Ferguson,Philadelphia Quakers
Arthur,Irwin,Philadelphia Quakers
Stuffy,McInnis,Philadelphia Quakers
Billy,Nash,Philadelphia Quakers
Blondie,Purcell,Philadelphia Quakers
George,Stallings,Philadelphia Quakers
Kaiser,Wilhelm,Philadelphia Quakers
Jimmie,Wilson,Philadelphia Quakers
Chief,Zimmer,Philadelphia Quakers
Bob,Addy,Philadelphia Whites
Bill,Craver,Philadelphia Whites
Fergy,Malone,Philadelphia Whites
Mike,McGeary,Philadelphia Whites
Jimmy,Wood,Philadelphia Whites
Joe,Battin,Pittsburg Alleghenys
Tom,Burns,Pittsburg Alleghenys
Fred,Clarke,Pittsburg Alleghenys
George,Creamer,Pittsburg Alleghenys
Patsy,Donovan,Pittsburg Alleghenys
Fred,Dunlap,Pittsburg Alleghenys
Bob,Ferguson,Pittsburg Alleghenys
Ned,Hanlon,Pittsburg Alleghenys
Guy,Hecker,Pittsburg Alleghenys
Billy,Herman,Pittsburg Alleghenys
Connie,Mack,Pittsburg Alleghenys
Pie,Traynor,Pittsburg Alleghenys
Honus,Wagner,Pittsburg Alleghenys
Ned,Hanlon,Pittsburgh Burghers
Tom,Burns,Pittsburgh Pirates
Fred,Clarke,Pittsburgh Pirates
Patsy,Donovan,Pittsburgh Pirates
Fred,Dunlap,Pittsburgh Pirates
Ned,Hanlon,Pittsburgh Pirates
Guy,Hecker,Pittsburgh Pirates
Billy,Herman,Pittsburgh Pirates
Connie,Mack,Pittsburgh Pirates
Pie,Traynor,Pittsburgh Pirates
Honus,Wagner,Pittsburgh Pirates
Rebel,Oakes,Pittsburgh Rebels
Mike,Dorgan,Providence Grays
Jack,Farrell,Providence Grays
Mike,McGeary,Providence Grays
John,Ward,Providence Grays
George,Wright,Providence Grays
Tom,York,Providence Grays
Scott,Hastings,Rockford Forest Citys
Count,Campau,St. Louis Brown Stockings
Charlie,Comiskey,St. Louis Brown Stockings
Ned,Cuthbert,St. Louis Brown Stockings
Joe,Gerhardt,St. Louis Brown Stockings
John,Kerins,St. Louis Brown Stockings
Tommy,McCarthy,St. Louis Brown Stockings
Dickey,Pearce,St. Louis Brown Stockings
Chief,Roseman,St. Louis Brown Stockings
Jimmy,Austin,St. Louis Browns
Jim,Bottomley,St. Louis Browns
Roger,Bresnahan,St. Louis Browns
Jimmy,Burke,St. Louis Browns
Count,Campau,St. Louis Browns
Bob,Caruthers,St. Louis Browns
Charlie,Comiskey,St. Louis Browns
Roger,Connor,St. Louis Browns
Jack,Crooks,St. Louis Browns
Ned,Cuthbert,St. Louis Browns
Patsy,Donovan,St. Louis Browns
Tommy,Dowd,St. Louis Browns
Frankie,Frisch,St. Louis Browns
Joe,Gerhardt,St. Louis Browns
Jack,Glasscock,St. Louis Browns
George,Gore,St. Louis Browns
Bill,Hallman,St. Louis Browns
Solly,Hemus,St. Louis Browns
Rogers,Hornsby,St. Louis Browns
Miller,Huggins,St. Louis Browns
John,Kerins,St. Louis Browns
Arlie,Latham,St. Louis Browns
Marty,Marion,St. Louis Browns
Jimmy,McAleer,St. Louis Browns
Tommy,McCarthy,St. Louis Browns
Kid,Nichols,St. Louis Browns
Jack,O'Connor,St. Louis Browns
Bob,O'Farrell,St. Louis Browns
Joe,Quinn,St. Louis Browns
Branch,Rickey,St. Louis Browns
Chief,Roseman,St. Louis Browns
Luke,Sewell,St. Louis Browns
George,Sisler,St. Louis Browns
Billy,Southworth,St. Louis Browns
Eddie,Stanky,St. Louis Browns
George,Stovall,St. Louis Browns
Gabby,Street,St. Louis Browns
Cub,Stricker,St. Louis Browns
Patsy,Tebeau,St. Louis Browns
Harry,Walker,St. Louis Browns
Bobby,Wallace,St. Louis Browns
Roger,Bresnahan,St. Louis Cardinals
Jimmy,Burke,St. Louis Cardinals
Bob,Caruthers,St. Louis Cardinals
Roger,Connor,St. Louis Cardinals
Jack,Crooks,St. Louis Cardinals
Patsy,Donovan,St. Louis Cardinals
Tommy,Dowd,St. Louis Cardinals
Frankie,Frisch,St. Louis Cardinals
Jack,Glasscock,St. Louis Cardinals
George,Gore,St. Louis Cardinals
Bill,Hallman,St. Louis Cardinals
Solly,Hemus,St. Louis Cardinals
Rogers,Hornsby,St. Louis Cardinals
Miller,Huggins,St. Louis Cardinals
Arlie,Latham,St. Louis Cardinals
Kid,Nichols,St. Louis Cardinals
Bob,O'Farrell,St. Louis Cardinals
Joe,Quinn,St. Louis Cardinals
Billy,Southworth,St. Louis Cardinals
Eddie,Stanky,St. Louis Cardinals
Gabby,Street,St. Louis Cardinals
Cub,Stricker,St. Louis Cardinals
Patsy,Tebeau,St. Louis Cardinals
Harry,Walker,St. Louis Cardinals
Fred,Dunlap,St. Louis Maroons
Alex,McKinnon,St. Louis Maroons
Roger,Bresnahan,St. Louis Perfectos
Jimmy,Burke,St. Louis Perfectos
Bob,Caruthers,St. Louis Perfectos
Roger,Connor,St. Louis Perfectos
Jack,Crooks,St. Louis Perfectos
Patsy,Donovan,St. Louis Perfectos
Tommy,Dowd,St. Louis Perfectos
Frankie,Frisch,St. Louis Perfectos
Jack,Glasscock,St. Louis Perfectos
George,Gore,St. Louis Perfectos
Bill,Hallman,St. Louis Perfectos
Solly,Hemus,St. Louis Perfectos
Rogers,Hornsby,St. Louis Perfectos
Miller,Huggins,St. Louis Perfectos
Arlie,Latham,St. Louis Perfectos
Kid,Nichols,St. Louis Perfectos
Bob,O'Farrell,St. Louis Perfectos
Joe,Quinn,St. Louis Perfectos
Billy,Southworth,St. Louis Perfectos
Eddie,Stanky,St. Louis Perfectos
Gabby,Street,St. Louis Perfectos
Cub,Stricker,St. Louis Perfectos
Patsy,Tebeau,St. Louis Perfectos
Harry,Walker,St. Louis Perfectos
Charlie,Sweasy,St. Louis Red Stockings
Mordecai,Brown,St. Louis Terriers
Fielder,Jones,St. Louis Terriers
Mike,Dorgan,Syracuse Stars
Bill,Holbert,Syracuse Stars
Jimmy,Macullar,Syracuse Stars
Charlie,Morton,Toledo Blue Stockings
Bill,Craver,Troy Haymakers
Lip,Pike,Troy Haymakers
Jimmy,Wood,Troy Haymakers
Bob,Ferguson,Troy Trojans
Tom,Brown,Washington Nationals
Jack,Doyle,Washington Nationals
Holly,Hollingshead,Washington Nationals
Arthur,Irwin,Washington Nationals
Deacon,McGuire,Washington Nationals
Joe,Miller,Washington Nationals
John,Morrill,Washington Nationals
Jim,O'Rourke,Washington Nationals
Bill,Parks,Washington Nationals
Danny,Richardson,Washington Nationals
Tom,Brown,Washington Senators
Donie,Bush,Washington Senators
Joe,Cronin,Washington Senators
Patsy,Donovan,Washington Senators
Jack,Doyle,Washington Senators
Clark,Griffith,Washington Senators
Bucky,Harris,Washington Senators
Malachi,Kittridge,Washington Senators
Deacon,McGuire,Washington Senators
Clyde,Milan,Washington Senators
Jim,O'Rourke,Washington Senators
Danny,Richardson,Washington Senators
Jake,Stahl,Washington Senators
Sandy,Griffin,Washington Statesmen
Dan,Shannon,Washington Statesmen
Pop,Snyder,Washington Statesmen
Tommy,Bond,Worcester Ruby Legs
Mike,Dorgan,Worcester Ruby Legs
Harry,Stovey,Worcester Ruby Legs
